standard,nVoip,nBg,seed,srcAddr,dstAddr,protocol,txPkts,rxPkts,lostPkts,lossPct,meanDelayMs,meanJitterMs,throughputKbps
ac,20,3,1,10.1.1.13,10.1.1.1,UDP,1499,1499,0,0,4.63579,2.8249,75.1499
ac,20,3,1,10.1.1.14,10.1.1.1,UDP,1499,1499,0,0,4.55938,2.83116,75.1499
ac,20,3,1,10.1.1.15,10.1.1.1,UDP,1499,1499,0,0,4.60658,2.91866,75.1499
ac,20,3,1,10.1.1.16,10.1.1.1,UDP,1499,1499,0,0,4.64684,2.74784,75.1499
ac,20,3,1,10.1.1.17,10.1.1.1,UDP,1499,1498,1,0.0667111,4.63342,2.8613,75.0997
ac,20,3,1,10.1.1.18,10.1.1.1,UDP,1499,1499,0,0,4.60385,2.86079,75.1499
ac,20,3,1,10.1.1.19,10.1.1.1,UDP,1499,1499,0,0,4.58169,2.90049,75.1499
ac,20,3,1,10.1.1.20,10.1.1.1,UDP,1499,1499,0,0,4.50667,2.82196,75.1499
ac,20,3,1,10.1.1.21,10.1.1.1,UDP,1499,1498,1,0.0667111,4.68309,2.84905,75.0997
standard,nVoip,nBg,seed,srcAddr,dstAddr,protocol,txPkts,rxPkts,lostPkts,lossPct,meanDelayMs,meanJitterMs,throughputKbps
ax,2,3,1,10.1.1.4,10.1.1.1,TCP,15401,15401,0,0,0.238954,0.0820677,2212.01
ax,2,3,1,10.1.1.5,10.1.1.1,TCP,15404,15404,0,0,0.102248,0.0344071,2212.44
ax,2,3,1,10.1.1.6,10.1.1.1,TCP,15407,15407,0,0,0.0939801,0.0290113,2212.87
ax,2,3,1,10.1.1.1,10.1.1.5,TCP,7702,7702,0,0,0.371039,0.143269,106.802
ax,2,3,1,10.1.1.1,10.1.1.6,TCP,7704,7704,0,0,0.250377,0.0587798,106.83
ax,2,3,1,10.1.1.1,10.1.1.4,TCP,7701,7701,0,0,0.335102,0.111759,106.788
ax,2,3,1,10.1.1.1,10.1.1.2,UDP,1499,1499,0,0,0.517983,0.283594,75.1499
ax,2,3,1,10.1.1.1,10.1.1.3,UDP,1499,1499,0,0,0.633696,0.28164,75.1499
ax,2,3,1,10.1.1.2,10.1.1.1,UDP,1499,1499,0,0,0.583735,0.335608,75.1499
ax,2,3,1,10.1.1.3,10.1.1.1,UDP,1499,1499,0,0,0.598207,0.346847,75.1499
standard,nVoip,nBg,seed,srcAddr,dstAddr,protocol,txPkts,rxPkts,lostPkts,lossPct,meanDelayMs,meanJitterMs,throughputKbps
ax,4,3,1,10.1.1.6,10.1.1.1,TCP,15401,15401,0,0,0.152748,0.0670378,2212.01
ax,4,3,1,10.1.1.7,10.1.1.1,TCP,15401,15401,0,0,0.138974,0.0580402,2212.01
ax,4,3,1,10.1.1.8,10.1.1.1,TCP,15410,15410,0,0,0.13174,0.0533146,2213.3
ax,4,3,1,10.1.1.1,10.1.1.8,TCP,7705,7705,0,0,0.270256,0.0845938,106.844
ax,4,3,1,10.1.1.1,10.1.1.7,TCP,7701,7701,0,0,0.281777,0.0965263,106.788
ax,4,3,1,10.1.1.1,10.1.1.6,TCP,7701,7701,0,0,0.278108,0.0922016,106.788
ax,4,3,1,10.1.1.1,10.1.1.2,UDP,1499,1499,0,0,0.745897,0.456626,75.1499
ax,4,3,1,10.1.1.1,10.1.1.3,UDP,1499,1499,0,0,0.866331,0.459396,75.1499
ax,4,3,1,10.1.1.1,10.1.1.4,UDP,1499,1499,0,0,0.979199,0.454595,75.1499
ax,4,3,1,10.1.1.1,10.1.1.5,UDP,1499,1499,0,0,1.09933,0.457058,75.1499
ax,4,3,1,10.1.1.2,10.1.1.1,UDP,1499,1499,0,0,1.00102,0.670569,75.1499
ax,4,3,1,10.1.1.3,10.1.1.1,UDP,1499,1499,0,0,1.00089,0.656098,75.1499
ax,4,3,1,10.1.1.4,10.1.1.1,UDP,1499,1499,0,0,1.01755,0.664844,75.1499
ax,4,3,1,10.1.1.5,10.1.1.1,UDP,1499,1499,0,0,1.01493,0.661143,75.1499
standard,nVoip,nBg,seed,srcAddr,dstAddr,protocol,txPkts,rxPkts,lostPkts,lossPct,meanDelayMs,meanJitterMs,throughputKbps
ax,6,3,1,10.1.1.8,10.1.1.1,TCP,15407,15407,0,0,0.225972,0.114399,2212.87
ax,6,3,1,10.1.1.9,10.1.1.1,TCP,15407,15407,0,0,0.213956,0.107497,2212.87
ax,6,3,1,10.1.1.10,10.1.1.1,TCP,15404,15404,0,0,0.232023,0.117841,2212.44
ax,6,3,1,10.1.1.1,10.1.1.9,TCP,7704,7704,0,0,0.321552,0.144694,106.83
ax,6,3,1,10.1.1.1,10.1.1.10,TCP,7702,7702,0,0,0.319864,0.150456,106.802
ax,6,3,1,10.1.1.1,10.1.1.8,TCP,7704,7704,0,0,0.320175,0.143606,106.83
ax,6,3,1,10.1.1.1,10.1.1.2,UDP,1499,1499,0,0,0.97034,0.640446,75.1499
ax,6,3,1,10.1.1.1,10.1.1.3,UDP,1499,1452,47,3.13542,3.08335,1.31996,72.7936
ax,6,3,1,10.1.1.1,10.1.1.4,UDP,1499,1499,0,0,1.20819,0.647543,75.1499
ax,6,3,1,10.1.1.1,10.1.1.5,UDP,1499,1499,0,0,1.33234,0.654763,75.1499
ax,6,3,1,10.1.1.1,10.1.1.6,UDP,1499,1499,0,0,1.44461,0.648867,75.1499
ax,6,3,1,10.1.1.1,10.1.1.7,UDP,1499,1499,0,0,1.55658,0.643173,75.1499
ax,6,3,1,10.1.1.2,10.1.1.1,UDP,1499,1499,0,0,1.36576,0.962893,75.1499
ax,6,3,1,10.1.1.3,10.1.1.1,UDP,1499,1499,0,0,1.37218,0.926416,75.1499
